asin,product_name,bag_type,brand,material,color,gender,current_price,original_price,discount,rating,review_count,prime_eligible,availability,delivery_info,bestseller_badge,product_url,category,scraped_at
B0CMZRBH7Z,MAQIHAN Clear PVC Gift Bags with Handles - 10PCS Mini Party Favor Bags Transparent Party Favour Plastic Gift Bag 5.9X6.29 Inches Tote Goodie Bag Bulk Pvc Plastic Bags with Handles for Gifts,Tote Bag,N/A,N/A,N/A,Unisex,8.,$0.83,N/A,4.6 out of 5 stars,0,No,10pcs Clear,N/A,N/A,https://www.amazon.com/MAQIHAN-Handles-Transparent-Plastic-5-9X6-29/dp/B0CMZRBH7Z/ref=sr_1_118?dib=eyJ2IjoiMSJ9.2IPQ7VjR-y_otuly9OVeU0zpF8YOGNkmfi4b6Anj4YKBuCThKvzIAOhR4nHJ8QdhXOABysaQGiVXpza3HeWqhU2nbo0rlt1BvIJ9D99Vw9-9JJtPEO2FCGeaWMv8Ecu0NMutEsQqzAYk3FT5Ssp3xyBWbvNxqKBcMWbF1IkBb1VO_fDR3hyC2huEELqbR2DPEjk2wrw1csdjlUqHpjBeKHTbmwRPvaOqlCw3x2NnExPLOFGvkbFJRZlG-DbMcUV_aIJTcn6RFsDiC-RhbNdcv4pvyyzgOnYkAgX4t1NXrzE.qZ31MH_IrrRTpA5duCiN7u-nNZOwtN9Y_0C42EtDch4&dib_tag=se&keywords=bags&qid=1763313097&sr=8-118,Bags,2025-11-16 17:11:38
B09NX7BGKT,"Lyellfe 45 Pieces Brown Gift Bags, Heavy Duty Kraft Paper Bags with Handle Bulk, Assorted Recycled Shopping Retail Merchandise Bags for Valentines Day, Birthday, Wedding",Other Bag,N/A,N/A,Brown,Unisex,25.,$0.57,N/A,4.3 out of 5 stars,0,No,Brown,N/A,N/A,https://www.amazon.com/Lyellfe-Assoorted-Recycled-Merchandise-Graduation/dp/B09NX7BGKT/ref=sr_1_119?dib=eyJ2IjoiMSJ9.2IPQ7VjR-y_otuly9OVeU0zpF8YOGNkmfi4b6Anj4YKBuCThKvzIAOhR4nHJ8QdhXOABysaQGiVXpza3HeWqhU2nbo0rlt1BvIJ9D99Vw9-9JJtPEO2FCGeaWMv8Ecu0NMutEsQqzAYk3FT5Ssp3xyBWbvNxqKBcMWbF1IkBb1VO_fDR3hyC2huEELqbR2DPEjk2wrw1csdjlUqHpjBeKHTbmwRPvaOqlCw3x2NnExPLOFGvkbFJRZlG-DbMcUV_aIJTcn6RFsDiC-RhbNdcv4pvyyzgOnYkAgX4t1NXrzE.qZ31MH_IrrRTpA5duCiN7u-nNZOwtN9Y_0C42EtDch4&dib_tag=se&keywords=bags&qid=1763313097&sr=8-119,Bags,2025-11-16 17:11:38
B092ZDHJMN,"Fab totes Storage Bags,Clothes Blanket Storage Bins Foldable Closet Organizers with Reinforced Handle for Home Dorm Storage and Organization,Fabric Bags for Organizing Bed Sheets,Clothing,Comforters",Tote Bag,N/A,N/A,N/A,Unisex,16.,$2.76,N/A,4.3 out of 5 stars,0,No,4.3,N/A,N/A,https://www.amazon.com/Fab-totes-Containers-Organizing-Organization/dp/B092ZDHJMN/ref=sr_1_120?dib=eyJ2IjoiMSJ9.2IPQ7VjR-y_otuly9OVeU0zpF8YOGNkmfi4b6Anj4YKBuCThKvzIAOhR4nHJ8QdhXOABysaQGiVXpza3HeWqhU2nbo0rlt1BvIJ9D99Vw9-9JJtPEO2FCGeaWMv8Ecu0NMutEsQqzAYk3FT5Ssp3xyBWbvNxqKBcMWbF1IkBb1VO_fDR3hyC2huEELqbR2DPEjk2wrw1csdjlUqHpjBeKHTbmwRPvaOqlCw3x2NnExPLOFGvkbFJRZlG-DbMcUV_aIJTcn6RFsDiC-RhbNdcv4pvyyzgOnYkAgX4t1NXrzE.qZ31MH_IrrRTpA5duCiN7u-nNZOwtN9Y_0C42EtDch4&dib_tag=se&keywords=bags&qid=1763313097&sr=8-120,Bags,2025-11-16 17:11:38
B09P4V72F8,KALIDI Women Corduroy Tote Bag Zipper Casual Tote's Handbag Big Capacity Shoulder Bag with Pockets,Handbag,N/A,N/A,N/A,Women,9.,9.,N/A,4.6 out of 5 stars,0,No,4.6,N/A,N/A,https://www.amazon.com/KALIDI-Corduroy-Handbag-Capacity-Shoulder/dp/B09P4V72F8/ref=sr_1_121?dib=eyJ2IjoiMSJ9.2IPQ7VjR-y_otuly9OVeU0zpF8YOGNkmfi4b6Anj4YKBuCThKvzIAOhR4nHJ8QdhXOABysaQGiVXpza3HeWqhU2nbo0rlt1BvIJ9D99Vw9-9JJtPEO2FCGeaWMv8Ecu0NMutEsQqzAYk3FT5Ssp3xyBWbvNxqKBcMWbF1IkBb1VO_fDR3hyC2huEELqbR2DPEjk2wrw1csdjlUqHpjBeKHTbmwRPvaOqlCw3x2NnExPLOFGvkbFJRZlG-DbMcUV_aIJTcn6RFsDiC-RhbNdcv4pvyyzgOnYkAgX4t1NXrzE.qZ31MH_IrrRTpA5duCiN7u-nNZOwtN9Y_0C42EtDch4&dib_tag=se&keywords=bags&qid=1763313097&sr=8-121,Bags,2025-11-16 17:11:38
B07V9XQ7JB,"Lightweight Canvas Duffle Bags for Men & Women For Traveling, the Gym, and as Sports Equipment Bag/Organizer",Travel Bag,N/A,Canvas,N/A,Women,15.,15.,N/A,4.0 out of 5 stars,0,No,4.0,N/A,N/A,https://www.amazon.com/Lightweight-Canvas-Traveling-Equipment-Organizer/dp/B07V9XQ7JB/ref=sr_1_122?dib=eyJ2IjoiMSJ9.2IPQ7VjR-y_otuly9OVeU0zpF8YOGNkmfi4b6Anj4YKBuCThKvzIAOhR4nHJ8QdhXOABysaQGiVXpza3HeWqhU2nbo0rlt1BvIJ9D99Vw9-9JJtPEO2FCGeaWMv8Ecu0NMutEsQqzAYk3FT5Ssp3xyBWbvNxqKBcMWbF1IkBb1VO_fDR3hyC2huEELqbR2DPEjk2wrw1csdjlUqHpjBeKHTbmwRPvaOqlCw3x2NnExPLOFGvkbFJRZlG-DbMcUV_aIJTcn6RFsDiC-RhbNdcv4pvyyzgOnYkAgX4t1NXrzE.qZ31MH_IrrRTpA5duCiN7u-nNZOwtN9Y_0C42EtDch4&dib_tag=se&keywords=bags&qid=1763313097&sr=8-122,Bags,2025-11-16 17:11:38
B0C1BB3PH3,"Syntus Vacuum Sealer Bags, 150 Gallon 11"" x 16"" and Quart 8"" x 12"" and Pint 6"" x 10"" Commercial Grade PreCut Bag, BPA Free Food Vac Bags for Storage, Meal Prep or Sous Vide",Other Bag,N/A,N/A,N/A,Unisex,19.,$0.13,N/A,4.7 out of 5 stars,0,No,4.7,N/A,Limited time deal,https://www.amazon.com/Syntus-Vacuum-Sealer-Commercial-Storage/dp/B0C1BB3PH3/ref=sr_1_123?dib=eyJ2IjoiMSJ9.2IPQ7VjR-y_otuly9OVeU0zpF8YOGNkmfi4b6Anj4YKBuCThKvzIAOhR4nHJ8QdhXOABysaQGiVXpza3HeWqhU2nbo0rlt1BvIJ9D99Vw9-9JJtPEO2FCGeaWMv8Ecu0NMutEsQqzAYk3FT5Ssp3xyBWbvNxqKBcMWbF1IkBb1VO_fDR3hyC2huEELqbR2DPEjk2wrw1csdjlUqHpjBeKHTbmwRPvaOqlCw3x2NnExPLOFGvkbFJRZlG-DbMcUV_aIJTcn6RFsDiC-RhbNdcv4pvyyzgOnYkAgX4t1NXrzE.qZ31MH_IrrRTpA5duCiN7u-nNZOwtN9Y_0C42EtDch4&dib_tag=se&keywords=bags&qid=1763313097&sr=8-123,Bags,2025-11-16 17:11:38
B0CP7ZYPQ8,"Canvas Tote Bag for Women,Women's Bags Crossbody Bags Work Laptop Tote Bag Large Handbags Purse for Travel Nurse Teacher",Handbag,N/A,Canvas,N/A,Women,19.,$24.99,N/A,4.4 out of 5 stars,0,No,4.4,N/A,N/A,https://www.amazon.com/ZHMO-Crossbody-Everything-Shoulder-Handbags/dp/B0CP7ZYPQ8/ref=sr_1_124?dib=eyJ2IjoiMSJ9.2IPQ7VjR-y_otuly9OVeU0zpF8YOGNkmfi4b6Anj4YKBuCThKvzIAOhR4nHJ8QdhXOABysaQGiVXpza3HeWqhU2nbo0rlt1BvIJ9D99Vw9-9JJtPEO2FCGeaWMv8Ecu0NMutEsQqzAYk3FT5Ssp3xyBWbvNxqKBcMWbF1IkBb1VO_fDR3hyC2huEELqbR2DPEjk2wrw1csdjlUqHpjBeKHTbmwRPvaOqlCw3x2NnExPLOFGvkbFJRZlG-DbMcUV_aIJTcn6RFsDiC-RhbNdcv4pvyyzgOnYkAgX4t1NXrzE.qZ31MH_IrrRTpA5duCiN7u-nNZOwtN9Y_0C42EtDch4&dib_tag=se&keywords=bags&qid=1763313097&sr=8-124,Bags,2025-11-16 17:11:38
B0B8Y754PS,"YANGTE 20 Pack Christmas Gift Bags Assorted Sizes, Reusable Tote Bags with Handle, Includes 4 Large 8 Medium 8 Small Non-Woven Christmas Bags for Xmas Party Favors",Tote Bag,N/A,N/A,N/A,Unisex,21.,$1.09,N/A,4.8 out of 5 stars,0,No,20-Pack Assorted Sizes,N/A,N/A,https://www.amazon.com/YANGTE-Christmas-Assorted-Reusable-Non-Woven/dp/B0B8Y754PS/ref=sr_1_125?dib=eyJ2IjoiMSJ9.2IPQ7VjR-y_otuly9OVeU0zpF8YOGNkmfi4b6Anj4YKBuCThKvzIAOhR4nHJ8QdhXOABysaQGiVXpza3HeWqhU2nbo0rlt1BvIJ9D99Vw9-9JJtPEO2FCGeaWMv8Ecu0NMutEsQqzAYk3FT5Ssp3xyBWbvNxqKBcMWbF1IkBb1VO_fDR3hyC2huEELqbR2DPEjk2wrw1csdjlUqHpjBeKHTbmwRPvaOqlCw3x2NnExPLOFGvkbFJRZlG-DbMcUV_aIJTcn6RFsDiC-RhbNdcv4pvyyzgOnYkAgX4t1NXrzE.qZ31MH_IrrRTpA5duCiN7u-nNZOwtN9Y_0C42EtDch4&dib_tag=se&keywords=bags&qid=1763313097&sr=8-125,Bags,2025-11-16 17:11:38
B098YPZPXV,Nike Unisex Adult Heritage Crossbody Bag,Crossbody Bag,N/A,N/A,N/A,Unisex,20.,$27.00,N/A,4.6 out of 5 stars,0,No,4.6,N/A,N/A,https://www.amazon.com/NIKE-Sport-Black-White/dp/B098YPZPXV/ref=sr_1_126?dib=eyJ2IjoiMSJ9.2IPQ7VjR-y_otuly9OVeU0zpF8YOGNkmfi4b6Anj4YKBuCThKvzIAOhR4nHJ8QdhXOABysaQGiVXpza3HeWqhU2nbo0rlt1BvIJ9D99Vw9-9JJtPEO2FCGeaWMv8Ecu0NMutEsQqzAYk3FT5Ssp3xyBWbvNxqKBcMWbF1IkBb1VO_fDR3hyC2huEELqbR2DPEjk2wrw1csdjlUqHpjBeKHTbmwRPvaOqlCw3x2NnExPLOFGvkbFJRZlG-DbMcUV_aIJTcn6RFsDiC-RhbNdcv4pvyyzgOnYkAgX4t1NXrzE.qZ31MH_IrrRTpA5duCiN7u-nNZOwtN9Y_0C42EtDch4&dib_tag=se&keywords=bags&qid=1763313097&sr=8-126,Bags,2025-11-16 17:11:38
B0C61LQB6D,"YANGTE 8 Pack Christmas Gift Bags with Handles, Large Non-Woven Tote Bags for Wrapping Xmas Party Favors, 12.8""x9.8""x6.7",Tote Bag,N/A,N/A,N/A,Unisex,9.,9.,N/A,4.7 out of 5 stars,0,No,8-Pack,N/A,N/A,https://www.amazon.com/YANGTE-Christmas-Handles-Non-Woven-Wrapping/dp/B0C61LQB6D/ref=sr_1_127?dib=eyJ2IjoiMSJ9.2IPQ7VjR-y_otuly9OVeU0zpF8YOGNkmfi4b6Anj4YKBuCThKvzIAOhR4nHJ8QdhXOABysaQGiVXpza3HeWqhU2nbo0rlt1BvIJ9D99Vw9-9JJtPEO2FCGeaWMv8Ecu0NMutEsQqzAYk3FT5Ssp3xyBWbvNxqKBcMWbF1IkBb1VO_fDR3hyC2huEELqbR2DPEjk2wrw1csdjlUqHpjBeKHTbmwRPvaOqlCw3x2NnExPLOFGvkbFJRZlG-DbMcUV_aIJTcn6RFsDiC-RhbNdcv4pvyyzgOnYkAgX4t1NXrzE.qZ31MH_IrrRTpA5duCiN7u-nNZOwtN9Y_0C42EtDch4&dib_tag=se&keywords=bags&qid=1763313097&sr=8-127,Bags,2025-11-16 17:11:38
