asin,title,brand,price,rating,review_count,product_url,scraped_at
B0983K5N47,Nike,Nike,63.,4.4 out of 5 stars,0,https://www.amazon.com/Nike-Court-Vision-White-White-DH2987/dp/B0983K5N47/ref=sr_1_53?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-53,2025-11-16 16:02:04
B08Z7XJDVB,Lugz,Lugz,24.,4.3 out of 5 stars,0,https://www.amazon.com/Lugz-Mens-Clipper-Sneaker-Black/dp/B08Z7XJDVB/ref=sr_1_54?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-54,2025-11-16 16:02:04
B0CZ7LWZ1R,Brooks,Brooks,119.,4.4 out of 5 stars,0,https://www.amazon.com/Brooks-Womens-Adrenaline-Supportive-Running/dp/B0CZ7LWZ1R/ref=sr_1_55?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-55,2025-11-16 16:02:04
B09XBTKNPR,Under Armour,Under Armour,44.,4.3 out of 5 stars,0,https://www.amazon.com/Under-Armour-Womens-Charged-Running/dp/B09XBTKNPR/ref=sr_1_56?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-56,2025-11-16 16:02:04
B08KJJGV7N,Cole Haan,Cole Haan,37.,4.5 out of 5 stars,0,https://www.amazon.com/Cole-Haan-Grandpro-Sneaker-Natural/dp/B08KJJGV7N/ref=sr_1_57?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-57,2025-11-16 16:02:04
B0B6FT1X3P,Nike,Nike,71.,4.4 out of 5 stars,0,https://www.amazon.com/Womens-Sneaker-White-Black-Orange/dp/B0B6FT1X3P/ref=sr_1_58?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-58,2025-11-16 16:02:04
B0CKM99XL7,adidas,adidas,48.,4.4 out of 5 stars,0,https://www.amazon.com/adidas-Falcon-Sneaker-Black-White/dp/B0CKM99XL7/ref=sr_1_59?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-59,2025-11-16 16:02:04
B01MS2ZX52,Skechers,Skechers,32.,4.4 out of 5 stars,0,https://www.amazon.com/Skechers-Work-Advantage-Bendon-Black/dp/B01MS2ZX52/ref=sr_1_60?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-60,2025-11-16 16:02:04
B07TXGGN5F,Dr. Scholl's,Dr. Scholl's,N/A,4.2 out of 5 stars,0,https://www.amazon.com/Dr-Scholls-Shoes-Oxford-Black/dp/B07TXGGN5F/ref=sr_1_61?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-61,2025-11-16 16:02:04
B0BHPRFJFK,adidas,adidas,60.,4.4 out of 5 stars,0,https://www.amazon.com/adidas-Swift-Sneaker-White-Black/dp/B0BHPRFJFK/ref=sr_1_62?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-62,2025-11-16 16:02:04
